序号  ,系统        ,专业  ,问题                                                                        ,答案                                                                                                                                                                                                                                                                    ,省份
549 ,采购-外部门户   ,采购  ,订单如何取消拒签？                                                                 ,订单状态变更：采购协同-订单处理-“我的订单”中签收变更状态                                                                                                                                                                                                                                        ,江苏
550 ,采购-外部门户   ,采购  ,工程没做完工直接做了验收如何处理？                                                         ,"（1）验收未验收：验收未审批完成，可找工程管理员退回验收申请。
（2）工程已验收：验收审批完成，找有合作的电信人员提ITSM工单进行数据调整。"                                                                                                                                                                                             ,江苏
551 ,采购-外部门户   ,采购  ,设计编制导入表格出现乱码                                                              ,"模板错误：门户设计编制里下载设计模板
浏览器兼容问题：建议IE9或搜狗"                                                                                                                                                                                                                                 ,江苏
552 ,采购-外部门户   ,采购  ,新注册账号，无法密码找回                                                              ,临时供应商：无法进行密码找回，联系运维确认公司信息后重置密码                                                                                                                                                                                                                                        ,江苏
553 ,采购-外部门户   ,采购  ,为什么有的订单签收不了？                                                              ,"物资类订单：采购协同-订单处理-“订单确认”里进行签收
服务类订单：无需签收，服务确认后自动变为“已签收”状态
已作废订单：作废的订单无法签收"                                                                                                                                                                                             ,江苏
554 ,采购-外部门户   ,采购  ,服务进度确认数量可以填几位小数                                                           ,"单价为1：正数可填两位小数，负数可填3位小数
单价不为1：可填3位小数
注意点：2018年5月版本后单价不为1时，7位小数。"                                                                                                                                                                                                      ,江苏
555 ,采购-外部门户   ,采购  ,开工申请一定要在门户操作吗？                                                            ,"框架：必须在门户发起开工申请，由施工人员发起
一事一议：在门户或计划建设均可发起开工申请"                                                                                                                                                                                                                        ,江苏
556 ,采购-外部门户   ,采购  ,设计编制批复完成后还能再修改吗？                                                          ,设计编制错误：设计编制在门户发起的，可在门户进行设计变更（工程完工前），其他需在计划建设发起变更                                                                                                                                                                                                                      ,江苏
557 ,采购-外部门户   ,采购  ,如何作废订单？                                                                   ,"门户申请作废：采购协同-订单处理-我的订单里申请订单作废（订单未回单状态）
采购作废订单：联系电信人员到采购平台作废订单（订单未回单、未签收状态）"                                                                                                                                                                                           ,江苏
558 ,采购-外部门户   ,采购  ,施工委托找不到？                                                                  ,"（1）委托未发送：在计划建设查看施工委托是否已发送到门户，若未发送，联系工程管理员发送
（2）登录账号错误：登录账号对应的公司名称需与受托单位保持一致
（3）账号权限问题：需拥有施工委托管理员权限
（4）省份配置：对应省份才能看到对应委托。到会员中心-个人信息修改“业务省份”，配置对应省份
（5）误加施工队：添加施工队会导致找不到施工委托（注：只有安徽的项目才需要添加施工队）"                                                                       ,江苏
559 ,采购-外部门户   ,采购  ,快速供应商如何转换为一般供应商                                                           ,"（1）老系统割接用户：供应商编码为G0开头的，在门户进行账号变更，企业信息维护
（2）采购注册用户：供应商编码为G1开头的，联系电信人员到采购平台进行供应商来源变更，再到门户进行账号变更，企业信息维护"                                                                                                                                                                ,江苏
560 ,采购-外部门户   ,采购  ,如何查看招标公告？                                                                 ,"账号不存在：到首页-“省公司采购公告”里通过公告编码搜索（公告未过期）
账号存在：到新闻中心-“招标公告”里通过公告编码搜索"                                                                                                                                                                                                      ,江苏
561 ,采购-外部门户   ,采购  ,刚找回的密码，无法登陆                                                               ,"账号错误：账号为密码找回时填写的邮箱账号
密码错误：登录时注意密码大小写"                                                                                                                                                                                                                                ,江苏
562 ,采购-外部门户   ,采购  ,税务情况信息报错“税务情况中纳税人类型必须与基本信息中的保持一致”                                         ,"纳税人类型错误：税务情况中的纳税人类型与供应商基本信息中的是否一致
空白行问题：第二项税务情况信息中是否存在空白行"                                                                                                                                                                                                           ,江苏
563 ,采购-外部门户   ,采购  ,登录外部门户平台没有施工协同模块                                                          ,配置不正确：需要到供应商基本信息“业务类型”中勾选“服务类-工程建设类服务”提交审核                                                                                                                                                                                                                            ,江苏
564 ,采购-外部门户   ,采购  ,服务进度确认找不到订单                                                               ,"（1）非关联交易供应商：联系电信人员在物流系统进行服务确认
（2）订单未发送：在采购系统查看订单是否已发送门户，若未发送，联系采购管理员或采购运维发送
（3）账号权限问题：对应省份才能看到对应订单。到会员中心-个人信息修改“业务省份”，配置对应省份
（4）已作废订单：作废的订单无法发起服务进度确认"                                                                                                               ,江苏
565 ,采购-外部门户   ,采购  ,采购订单如何归档                                                                  ,"（1）物资类订单：联系采购申请人进行验货单归档
（2）服务类订单：服务类订单无需验货，订单回单即可"                                                                                                                                                                                                                   ,江苏
566 ,采购-外部门户   ,采购  ,订单签收状态在采购系统和外部门户系统不一致如何处理？                                                ,流程同步滞后问题：需要采购系统重新推送签收状态，可以联系采购或门户运维人员同步                                                                                                                                                                                                                               ,江苏
567 ,采购-外部门户   ,采购  ,已指派的设计编制人，如何修改                                                            ,"（1）设计编制未提交：受托管理员账号到设计委托里点击“选择”可重新指派设计编制人
（2）作废委托：找工程管理员作废设计委托，重新签收指派"                                                                                                                                                                                                ,江苏
568 ,采购-外部门户   ,采购  ,如何进行订单确认？                                                                 ,"（1）物资类订单：在采购协同-订单处理-订单确认里做订单确认
（2）服务类订单：在施工协同-服务进度确认-服务确认订单查询里进行服务进度确认（关联交易供应商）"                                                                                                                                                                                     ,江苏
569 ,采购-外部门户   ,采购  ,施工委托下错单位，如何操作                                                             ,"（1）施工委托未签收：在施工委托里退回委托
（2）施工委托已签收：联系工程管理员作废施工委托，重新选择施工单位"                                                                                                                                                                                                             ,江苏
570 ,采购-外部门户   ,采购  ,采购订单无法打印                                                                  ,"（1）阅读器问题：使用PDF阅读器打开
（2）含电子印章附件订单：电子印章附件订单，进入订单详细页下载订单
（3）浏览器问题：建议使用搜狗浏览器"                                                                                                                                                                                            ,江苏
571 ,采购-外部门户   ,采购  ,上传附件时点提交没反应                                                               ,"（1）附件问题：单个附件必须小于20M，附件过大时 可拆分文档为多个附件上传
（2）浏览器兼容问题：建议IE9或搜狗
（3）附件每日上传上限50个，超过上限无常上传"                                                                                                                                                                                  ,江苏
572 ,采购-外部门户   ,采购  ,账号变更审批需要多长时间？                                                             ,"（1）电信规定：自提交之日起1-2个工作日完成审核
（2）通知方式：密码会以邮件或短信方式通知供应商"                                                                                                                                                                                                                  ,江苏
573 ,采购-外部门户   ,采购  ,采购公告看不到什么原因？                                                              ,"（1）公告未发送：联系电信人员将公告发送到门户
（2）公告过期：公告过期3天后自动隐藏（可登录查看）
（3）公告未开始：采购公告开始时间到了才能查看到"                                                                                                                                                                                         ,江苏
574 ,采购-外部门户   ,采购  ,如何将账号从A公司迁到B公司                                                            ,数据调整：找合作的电信人员提工单申请账号迁移，说明清楚当前账号所在公司，要迁移的公司，账号是多少                                                                                                                                                                                                                      ,江苏
575 ,采购-外部门户   ,采购  ,账号变更时提示名称所对应的法定身份识别类型编码不存在                                                ,"（1）数据不全：检查相关公司信息是否完整，若数据不全让供应商提供相关信息，由研发去数据库里补充
（2）填写错误：检查填写内容与系统是否一致
（3）临时供应商：无法进行账号变更，联系运维确认公司信息后重置密码"                                                                                                                                                             ,江苏
576 ,采购-外部门户   ,采购  ,服务确认状态一直是“成功”，无法进行确认                                                      ,"（1）查询位置不正确：在施工协同-服务进度确认-服务确认订单查询里查找订单
（2）浏览器兼容问题：建议IE9或搜狗"                                                                                                                                                                                                           ,江苏
577 ,采购-外部门户   ,采购  ,我的外部门户平台怎么没会员中心、没有相关协同呢？                                                  ,"（1）权限问题：找管理员在会员中心-企业用户管理里添加权限
（2）访问平台不正确：如果是内网集中门户和外部门户不是同一个系统，集中门户出现问题要找OA管理员"                                                                                                                                                                                      ,江苏
578 ,采购-外部门户   ,采购  ,开工申请找不到工程                                                                 ,"（1）操作账号不正确：施工人员账号做开工
（2）开工存在草稿：在施工协同-开工申请里通过工程编号搜索，将草稿状态开工申请提交审核"                                                                                                                                                                                                    ,江苏
579 ,采购-外部门户   ,采购  ,完工申请找不到工程                                                                 ,"（1）操作账号不正确：施工人员账号做完工
（2）工程状态不正确：工程状态是否为工程已开工状态（若工程状态为空，联系计划建设运维同步工程状态到门户）
（3）完工存在草稿：在施工协同-完工申请里通过工程编号搜索，将草稿状态完工申请提交审核"                                                                                                                                               ,江苏
580 ,采购-外部门户   ,采购  ,密码找回提示：查询异常，请重新输入查询                                                       ,"（1）填写信息错误：检查填写的邮箱账号、公司信息与系统是否一致
（2）临时供应商：无法进行密码找回，联系运维确认公司信息后重置密码"                                                                                                                                                                                                   ,江苏
581 ,采购-外部门户   ,采购  ,登录时提示：该账户已被贵公司管理员禁用，请联系贵公司管理员，谢谢                                          ,"（1）公司管理员账号被禁用：联系门户运维进行账号解锁
（2）子账号被禁用：联系公司管理员进行账号解锁"                                                                                                                                                                                                                  ,江苏
582 ,采购-外部门户   ,采购  ,供应商法定身份扫描件无法上传                                                            ,"（1）附件格式不正确：限制附件为图片格式，仅允许上传jpeg/jpg/png/bmp四种常见格式文件
（2）浏览器兼容问题：建议使用IE9或搜狗浏览器"                                                                                                                                                                                         ,江苏
583 ,采购-外部门户   ,采购  ,设计编制导入表格提示：XX物料不存在                                                        ,"（1）物料不存在：物料查询里查看物料是否存在
（2）物料状态不正确：冻结物料
（3）流程同步滞后问题：需要采购系统重新推送物料信息，可以联系采购或门户运维人员同步"                                                                                                                                                                                   ,江苏
584 ,采购-外部门户   ,采购  ,设计编制找不到工程                                                                 ,"（1）操作账号不正确：设计编制人的账号做设计编制
（2）设计编制存在草稿：在设计协同-设计编制里通过工程编号搜索，将草稿状态设计编制提交审核"                                                                                                                                                                                              ,江苏
585 ,财务-财辅报账   ,财务  ,已挂账的付款查不到已挂账的信息                                                           ,"1、挂账单子已被冲销或被清偿，那么已经被清偿的单子是不可以重复做挑对的；
2、是否有合同需要选择，如果有合同/框架汇总单/小额订单等，是否合同处要按照正确的类型选择且必填；
3、报账部门要清空，有部分挂账不是本部门挂账，如跨部门清偿则需要清空报账部门；
4、预付款挂在贷方的挑对不到，此类预付款挑对不到需要会计直接从SAP做挑对"                                                                                                ,江苏
586 ,财务-财辅报账   ,财务  ,报账单流程异常，报账系统无待办                                                           ,在报账平台--业务管理--运维支撑-流程处理管理中找到该单据，点击重新回调引擎流程，稍后刷新即可                                                                                                                                                                                                                      ,江苏
587 ,财务-财辅报账   ,财务  ,报账单流程异常，报账单提交时报错，提示流程挂起                                                   ,在报账平台--业务管理--支撑维护--流程处理管理中输入报账单，然后点击解挂                                                                                                                                                                                                                                ,江苏
588 ,财务-财辅报账   ,财务  ,报账时选择不到合同                                                                 ,"1、合同是否归档，未归档合同去合同系统归档；
2、用户是否为该合同报账人，没有该合同报账人需要合同经办人在报账平台--业务管理--合同管理里找到该合同后添加报账人/报账单位；
3、如果还是选不到，用户提ITSM工单交由二线处理"                                                                                                                                                   ,江苏
589 ,财务-财辅报账   ,财务  ,报账时查不到需要的供应商信息                                                            ,"1、在报账平台--业务管理--基础码表管理--供应商中查询合同在报账系统中是否存在。
2、如果不存在，可能是供应商没有新增，去采购辅助或者外部门户系统新增供应商。或者采购辅助没有推送过来，要求财辅重新推送。或者名称和现实名称不一致，要求用户自己核对，到采购的供应商修改中取修改。
3、如果存在，看看状态是否正确，如果是冻结状态，和采购辅助沟通，是否那边状态是冻结，如果是冻结，根据实际情况要求解冻或者重新选择供应商。如果没有冻结，采购辅助检查是什么原因导致的，然后重新推送
"                       ,江苏
590 ,财务-财辅报账   ,财务  ,无法从oa直接登录到财辅                                                              ,"1、到报账平台-系统管理-用户管理中查看该账号是否有岗位权限，没有找管理员添加或走itsm工单申请新增；
2、如果有岗位，联系oa运维人员咨询是否有做账号关联；
3、如果做了账号关联，那么需设置IE兼容、可信任站点、添加host文件、解除浏览器弹出窗口，尝试更换为IE浏览器。"                                                                                                                          ,江苏
591 ,财务-财辅报账   ,财务  ,发票校验单一直在任务池中不派单                                                           ,票据需要稽核，发票校验票据没有稽核就无法派单，可以自行联系票据组稽核                                                                                                                                                                                                                                    ,江苏
592 ,财务-财辅报账   ,财务  ,发票类型不一样可以在同一个报账单中发起报账吗?                                                   ,除专票以外，支持其他不同发票类型一起发起报账，但是差旅费除外，可以专票和其他发票一起报                                                                                                                                                                                                                           ,江苏
593 ,财务-财辅报账   ,财务  ,在员工代垫报账单添加内部收款人信息时输入员工姓名带不出相关信息                                           ,"员工信息是人力系统推送报账平台的，最好输入员工编号来查询，用员工姓名查询，若该员工跨利润中心就会出现带不出其信息的情况，如还不行可先去人力系统查看员工信息是否完整，如不完整请添加。如完整，联系人力系统维护重新推送至财务系统
"                                                                                                                                                    ,江苏
594 ,财务-财辅报账   ,财务  ,有报账权限仍无法发起报账单                                                             ,账套问题，在报账平台-系统管理-用户管理中找到该用户，查看账套是否勾选                                                                                                                                                                                                                                   ,江苏
595 ,财务-财辅报账   ,财务  ,在报账单查询中根据条件查不到想要的报账单                                                      ,"1、很多用户有多个岗位，最好切换权限最大的岗位来查询，如果查询的报账单超出自己的权限范围是查不到的；
2、报账时间和记账日期是默认的，最好先重置再进行查询"                                                                                                                                                                                       ,江苏
596 ,财务-财辅报账   ,财务  ,已经在财辅发起清偿或冲销，在系统中仍然有借款提醒                                                  ,财辅系统现金还款，报账单里挑对借款可自动冲销借款提醒；其他类型的冲账如调列账冲账、SAP里直接冲销的单子都无法自动冲销已挑对的借款提醒，需提单后台删。                                                                                                                                                                                           ,江苏
597 ,财务-财辅报账   ,财务  ,报账单一直在等待生成SAP凭证中                                                          ,"1、若票据类型为增值税专用发票，查看专票的认证状态是否成功：若是未认证可在报账平台-业务管理-增值税发票管理-发票管理中重新触发认证；若触发认证失败，可查询失败原因，若报账平台未显示原因，用户去增值税平台查询
2、在报账平台-运维支撑-扫描定位中找到该报账单，点击“凭证相关状态信息”查看具体运行失败原因，注意凭证对应报账单影像状态是不是已稽核
"                                                                                       ,江苏
598 ,财务-财辅报账   ,财务  ,报账单提交报错：预算指标不存在                                                           ,未填写预算信息或者预算责任中心导致。“挂账后付款”的成本业务也是需要成本预算信息的，系统依靠成本指标去对应现金流指标                                                                                                                                                                                                            ,江苏
599 ,财务-财辅报账   ,财务  ,报账单提交报错：WBS预算组织与子单预算组织不一致                                                 ,"1、WBS预算组织选择错误：去项目立项的部门修改；
2、子单预算组织选择错误：用户提ITSM工单到报账平台配置
"                                                                                                                                                                                                            ,江苏
600 ,财务-财辅报账   ,财务  ,报账单提交报错：未关联电子发票-普票                                                        ,报账单中的其他信息中的电子发票-普票一栏，需要上传从税务官网下载的PDF格式的电子普票，上传后点击“批量PDF后触发影像”                                                                                                                                                                                                         ,江苏
601 ,财务-财辅报账   ,财务  ,报账时提示关联交易已发起，未反馈，不允许提交                                                    ,如果选择是关联交易的供应商，则报账平台发起报账后，需要点击报账单右上角的“更多”，点击“发送关联交易平台”，关联交易系统的相关负责人需要在关联交易平台点击确定反馈结果至报账平台，单据流程才可以正常流转。                                                                                                                                                                 ,江苏
602 ,财务-财辅报账   ,财务  ,报账单提交后无法打印手签格式                                                            ,更新升级浏览器导致，在兼容性视图添加报账平台网站，清理浏览器缓存                                                                                                                                                                                                                                      ,江苏
603 ,财务-财辅资产   ,财务  ,新增房屋租赁合同时选择房产后空置面积为0                                                      ,一般情况是由于该土地房屋被其他合同占用中，所以在合同汇总查询中根据房屋编号查询看看有没有其他合同，如果有必须要先终止合同才能再继续做新的合同                                                                                                                                                                                                ,江苏
604 ,财务-财辅报账   ,财务  ,银行回单查看报文件未转换错误                                                            ,到档案系统查看，档案查询--凭证查询--业务关系维度，输入报账单号查询，点击凭证编号--银行回单信息，勾选并点击“电子回单”。若报错或是一直在加载，走itsm工单提交至档案二线解决                                                                                                                                                                            ,江苏
605 ,财务-财辅影像   ,财务  ,报账单补单在影像系统中是补单任务环节，但没有“扫描”按钮                                              ,联系一线到我的工作 --一线维护--序号2 根据报账单号修改补单流程使重新触发扫描，输入报账单号进行修改。                                                                                                                                                                                                                 ,江苏
606 ,财务-财辅报账   ,财务  ,挂账后付款挑对信息保存失败，挑对金额必须小于等于可报账金额0                                            ,点开“可报账金额”下面的0，有在途单据，需要把在途单据终止流程。                                                                                                                                                                                                                                      ,江苏
607 ,财务-财辅报账   ,财务  ,在扫描环节的报账单如何退回经办人？                                                         ,"1、在影像系统中如果流程是登记接收，处理人可直接退回报账平台；
2、若已经在票据扫描环节，不可以直接退回报账平台，需要进行扫描，扫完报账平台有待办之后退回经办人。"                                                                                                                                                                                   ,江苏
608 ,财务-财辅报账   ,财务  ,报账单提交报错：请自检之后再提交                                                          ,点开报账单右上角的“更多”，点击“自检要求”，填写后保存即可提交。                                                                                                                                                                                                                                     ,江苏
609 ,财务-财辅预算   ,财务  ,报账单提交报错：没有找到对应的月度预算信息，请先确认是否已下达月度预算                                       ,在预算管理--查询分析--成本预算--季度成本指标查询中选择对应组织，查看相应剩余季度成本预算是否够用，若不够用户联系本地市预算管理员下达预算。                                                                                                                                                                                              ,江苏
610 ,财务-财辅预算   ,财务  ,报账单提交报错：月度现金流预算不足                                                         ,在预算管理--查询分析--现金流预算--月度现金流预算使用池中选择对应组织，查看相应剩余月度现金流预算是否够用，若不够用户联系本地市预算管理员增加月度现金流预算。                                                                                                                                                                                     ,江苏
611 ,财务-财辅报账   ,财务  ,补单系统操作地点咨询                                                                ,可以在一级稽核、费用会计、影像稽核环节发起。                                                                                                                                                                                                                                                ,江苏
612 ,财务-财辅报账   ,财务  ,报账单影像发票校验时，发票真伪结果显示“不能查询该发票[名称不匹配]”                                       ,"1、请用户检查影像系统的发票行项中的发票数据是否与发票票面信息一致，如不一致请修改正确后再同步；
2、如果发票信息正确，但同步结果仍显示名称不匹配，请到国家税务总局全国增值税发票查验平台进行发票查验；
3、如果开票名称完全正确，在国税查验平台也能查询到此票，但是同步时仍提示名称不匹配，请把发票上的购方名称和纳税人识别号提供给增值税平台维护排查 
"                                                                                      ,江苏
